DBN,school_name,Location 1
08X558,Westchester Square Academy,"3000 East Tremont Avenue
Bronx, NY 10461
(40.840513977000455, -73.83812095999963)"
32K545,EBC High School for Public Service - Bushwick,"1155 Dekalb Avenue
Brooklyn, NY 11221
(40.694481845000496, -73.92915352799963)"
23K493,Brooklyn Collegiate: A College Board School,"2021 Bergen Street
Brooklyn, NY 11233
(40.67413738300047, -73.91349449099965)"
29Q265,Excelsior Preparatory High School,"143-10 Springfield Boulevard
Springfield Gardens, NY 11413
(40.66823228800047, -73.75683989399965)"
09X505,"Bronx School for Law, Government and Justice","244 East 163 Street
Bronx, NY 10451
(40.827589367000485, -73.91866815999964)"
14K071,Juan Morel Campos Secondary School,"215 Heyward Street
Brooklyn, NY 11206
(40.7035773610005, -73.95323731199966)"
24Q267,High School of Applied Communication,"30-20 Thomson Avenue
Long Island City, NY 11101
(40.74509351900048, -73.93681389799963)"
02M416,Eleanor Roosevelt High School,"411 East 76 Street
New York, NY 10021
(40.77011647100045, -73.95337910099965)"
30Q286,"Young Women's Leadership School, Astoria","23-15 Newtown Avenue
Astoria, NY 11102
(40.77125089600048, -73.92460167099966)"
07X548,Urban Assembly School for Careers in Sports,"730 Concourse Village West
Bronx, NY 10451
(40.82277649000048, -73.92352279399967)"
10X213,Bronx Engineering and Technology Academy,"99 Terrace View Avenue
Bronx, NY 10463
(40.87704944300049, -73.91233659899967)"
28Q440,Forest Hills High School,"67-01 110 Street
Forest Hills, NY 11375
(40.729431572000465, -73.84562907299966)"
17K745,Brooklyn Institute for Liberal Arts,"600 Kingston Avenue
Brooklyn, NY 11203
(40.6595170060005, -73.94254649899966)"
02M459,Manhattan International High School,"317 East 67 Street
New York, NY 10065
(40.765445402000466, -73.96021378599966)"
06M463,High School for Media and Communications,"549 Audubon Avenue
New York, NY 10040
(40.855938307000486, -73.92702963399967)"
12X248,"Metropolitan High School, The","1180 Rev. J.A. Polite Ave.
Bronx, NY 10459
(40.82522606000049, -73.89394988899966)"
21K410,Abraham Lincoln High School,"2800 Ocean Parkway
Brooklyn, NY 11235
(40.58230836300049, -73.96746574699966)"
21K540,John Dewey High School,"50 Avenue X
Brooklyn, NY 11223
(40.589238098000465, -73.98174652399967)"
18K566,Brooklyn Generation School,"6565 Flatlands Avenue
Brooklyn, NY 11236
(40.63262743000047, -73.91779798899967)"
13K439,Brooklyn International High School,"49 Flatbush Avenue Extension
Brooklyn, NY 11201
(40.69717472700046, -73.98495968899965)"
10X445,Bronx High School of Science,"75 West 205 Street
Bronx, NY 10468
(40.87705636800047, -73.88978035099967)"
05M367,Academy for Social Action: A College Board School,"509 West 129 Street
New York, NY 10027
(40.815230365000446, -73.95520120599963)"
02M282,Urban Assembly Maker Academy,"411 Peal Street
New York, NY 10038
(40.709336073000486, -74.00529934499963)"
10X268,Kingsbridge International High School,"2780 Reservoir Avenue
Bronx, NY 10468
(40.87037746700048, -73.89816295199967)"
14K449,"Brooklyn Latin School, The","223 Graham Avenue
Brooklyn, NY 11206
(40.709899960000484, -73.94365993499963)"
08X452,Bronx Guild,"1980 Lafayette Avenue
Bronx, NY 10473
(40.82230376500047, -73.85596138999966)"
02M531,Repertory Company High School for Theatre Arts,"123 West 43 Street
New York, NY 10036
(40.7559425820005, -73.98456770199965)"
02M615,Chelsea Career and Technical Education High School,"131 Avenue Of The Americas
New York, NY 10013
(40.72435287400049, -74.00475929199968)"
13K412,"Brooklyn Community High School of Communication, Arts and Media","300 Willoughby Avenue
Brooklyn, NY 11205
(40.69258225600049, -73.95887311699965)"
24Q520,Middle College High School at LaGuardia Community College,"45-35 Van Dam Street
Long Island City, NY 11101
(40.744149536000464, -73.93362674099967)"
17K547,Brooklyn Academy of Science and the Environment,"883 Classon Avenue
Brooklyn, NY 11225
(40.67029890700047, -73.96164787599963)"
24Q293,Civic Leadership Academy,"45-10 94Th Street
Elmhurst, NY 11373
(40.74330287300046, -73.87057497699965)"
04M555,Central Park East High School,"1573 Madison Avenue
New York, NY 10029
(40.79367888200045, -73.94941649499964)"
10X546,Bronx Theatre High School,"99 Terrace View Avenue
Bronx, NY 10463
(40.87704944300049, -73.91233659899967)"
30Q301,Academy for Careers in Television and Film,"1-50 51St Avenue
Long Island City, NY 11101
(40.74113732800049, -73.94968859899967)"
16K594,Gotham Professional Arts Academy,"265 Ralph Avenue
Brooklyn, NY 11233
(40.68045547300045, -73.92219609199964)"
08X320,Pelham Lab High School,"3000 East Tremont Avenue
Bronx, NY 10461
(40.840513977000455, -73.83812095999963)"
11X513,New World High School,"921 East 228Th Street
Bronx, NY 10466
(40.887919214000476, -73.85287161399964)"
14K322,Foundations Academy,"70 Tompkins Avenue
Brooklyn, NY 11206
(40.69706108300045, -73.94667520499968)"
12X479,Bronx Career and College Preparatory High School,"800 Home Street
Bronx, NY 10456
(40.82776397900045, -73.90038681299967)"
11X544,High School for Contemporary Arts,"800 East Gun Hill Road
Bronx, NY 10467
(40.87575421100047, -73.86138783399963)"
30Q450,Long Island City High School,"14-30 Broadway
Astoria, NY 11106
(40.765763938000475, -73.93272598499965)"
24Q610,Aviation Career & Technical Education High School,"45-30 36 Street
Long Island City, NY 11101
(40.7435936440005, -73.92907786499967)"
14K610,Automotive High School,"50 Bedford Avenue
Brooklyn, NY 11222
(40.72264264000046, -73.95258304499964)"
29Q259,Pathways College Preparatory School: A College Board School,"109-89 204 Street
Saint Albans, NY 11412
(40.706387658000494, -73.75353002199967)"
15K423,Brooklyn Frontiers High School,"112 Schermerhorn Street
Brooklyn, NY 11201
(40.69020457500045, -73.98927037499965)"
03M479,Beacon High School,"227-243 West 61St Street
New York, NY 10023
(40.772158119000494, -73.98779653499963)"
21K337,International High School at Lafayette,"2630 Benson Avenue
Brooklyn, NY 11214
(40.59359381100046, -73.98472923199967)"
02M422,Quest to Learn,"351 West 18 Street
New York, NY 10011
(40.74288810100046, -74.00212738099964)"
09X564,Claremont International HS,"240 East 172 Street
Bronx, NY 10457
(40.84037339800045, -73.91083800799964)"
11X545,Bronx Aerospace High School,"800 East Gun Hill Road
Bronx, NY 10467
(40.87575421100047, -73.86138783399963)"
15K592,Khalil Gibran International Academy,"362 Schermerhorn Street
Brooklyn, NY 11217
(40.686741862000474, -73.98022906499966)"
30Q575,Academy of American Studies,"28-04 41 Avenue
Long Island City, NY 11101
(40.751300578000496, -73.93742387699967)"
07X223,M.S. 223 The Laboratory School of Finance and Technology,"360 East 145 Street
Bronx, NY 10454
(40.81401081600046, -73.92083651699966)"
21K525,Edward R. Murrow High School,"1600 Avenue L
Brooklyn, NY 11230
(40.62050435800046, -73.95923393299967)"
09X241,"Urban Assembly School for Applied Math and Science, The","1595 Bathgate Avenue
Bronx, NY 10457
(40.839327126000455, -73.90130978999963)"
03M402,The Urban Assembly School for Green Careers,"145 West 84 Street
New York, NY 10024
(40.78574315700047, -73.97441522799966)"
03M417,FRANK McCOURT HIGH SCHOOL,"145 West 84 Street
New York, NY 10024
(40.78574315700047, -73.97441522799966)"
17K537,High School for Youth and Community Development at Erasmus,"911 Flatbush Avenue
Brooklyn, NY 11226
(40.64943967500045, -73.95843119799963)"
02M412,N.Y.C. Lab School for Collaborative Studies,"333 West 17 Street
New York, NY 10011
(40.74210071300047, -74.00207379699964)"
31R600,Ralph R. McKee Career and Technical Education High School,"290 St Marks Place
Staten Island, NY 10301
(40.642741044000445, -74.07871106299967)"
07X527,Bronx Leadership Academy II High School,"730 Concourse Village West
Bronx, NY 10451
(40.82277649000048, -73.92352279399967)"
31R440,New Dorp High School,"465 New Dorp Lane
Staten Island, NY 10306
(40.5691824270005, -74.10730080799965)"
10X524,Crotona International High School,"2474 Crotona Avenue
Bronx, NY 10458
(40.85592271000047, -73.88257897999966)"
08X367,"Archimedes Academy for Math, Science and Technology Applications","456 White Plains Road
Bronx, NY 10473
(40.814918340000474, -73.85656553499967)"
24Q585,Maspeth High School,"54-40 74Th Street
Elmhurst, NY 11373
(40.729538482000464, -73.88739052299962)"
21K572,Expeditionary Learning School for Community Leaders,"2630 Benson Avenue
Brooklyn, NY 11214
(40.59359381100046, -73.98472923199967)"
04M495,Park East High School,"230 East 105 Street
New York, NY 10029
(40.7905626000005, -73.94445440799967)"
09X227,Bronx Collegiate Academy,"240 East 172 Street
Bronx, NY 10457
(40.84037339800045, -73.91083800799964)"
26Q495,Bayside High School,"32-24 Corporal Kennedy Street
Bayside, NY 11361
(40.771867242000496, -73.78038695199967)"
12X478,THE CINEMA SCHOOL,"1551 East 172Nd Street
Bronx, NY 10472
(40.831364532000464, -73.87834467499965)"
26Q315,Business Technology Early College High School,"230-17 Hillside Avenue
Queens Village, NY 11427
(40.73281710900045, -73.73965041299965)"
06M462,The College Academy,"549 Audubon Avenue
New York, NY 10040
(40.855938307000486, -73.92702963399967)"
02M655,Life Sciences Secondary School,"320 East 96 Street
New York, NY 10128
(40.78364426000047, -73.94574177699963)"
02M411,Baruch College Campus High School,"55 East 25 Street
New York, NY 10010
(40.74404724800047, -73.99147929899965)"
13K499,ACORN Community High School,"561 Grand Avenue
Brooklyn, NY 11238
(40.678508914000474, -73.96206730599965)"
05M304,Mott Hall High School,"6 Edgecombe Avenue
New York, NY 10030
(40.817361046000485, -73.94770842099967)"
08X405,Herbert H. Lehman High School.,"3000 East Tremont Avenue
Bronx, NY 10461
(40.840513977000455, -73.83812095999963)"
02M534,Harvest Collegiate High School,"34 West 14 Street
New York, NY 10011
(40.73676482600047, -73.99551113299964)"
10X549,Discovery High School,"2780 Reservoir Avenue
Bronx, NY 10468
(40.87037746700048, -73.89816295199967)"
31R080,The Michael J. Petrides School,"715 Ocean Terrace
Staten Island, NY 10301
(40.60745302400045, -74.10148222999965)"
20K485,High School of Telecommunication Arts and Technology,"350 67 Street
Brooklyn, NY 11220
(40.63724571600045, -74.02381647299967)"
02M308,Lower Manhattan Arts Academy,"350 Grand Street
New York, NY 10002
(40.71686722400045, -73.98953194299963)"
18K633,High School for Medical Professions,"1600 Rockaway Parkway
Brooklyn, NY 11236
(40.641844268000455, -73.89868729099965)"
05M369,Urban Assembly School for the Performing Arts,"509 West 129 Street
New York, NY 10027
(40.815230365000446, -73.95520120599963)"
12X692,Monroe Academy for Visual Arts & Design,"1300 Boynton Avenue
Bronx, NY 10472
(40.83136649000045, -73.87882327699964)"
24Q296,Pan American International High School,"45-10 94Th Street
Elmhurst, NY 11373
(40.74330287300046, -73.87057497699965)"
02M437,Hudson High School of Learning Technologies,"351 West 18 Street
New York, NY 10011
(40.74288810100046, -74.00212738099964)"
13K265,Dr. Susan S. McKinney Secondary School of the Arts,"101 Park Avenue
Brooklyn, NY 11205
(40.69634377300048, -73.97577110199967)"
02M545,High School for Dual Language and Asian Studies,"350 Grand Street
New York, NY 10002
(40.71686722400045, -73.98953194299963)"
24Q236,International High School for Health Sciences,"48-01 90 Street
Elmhurst, NY 11373
(40.74120520000048, -73.87472988399963)"
07X551,The Urban Assembly Bronx Academy of Letters,"339 Morris Avenue
Bronx, NY 10451
(40.81335930300048, -73.92553651499964)"
22K611,Origins High School,"3000 Avenue X
Brooklyn, NY 11235
(40.59419299700045, -73.93683809599963)"
06M552,Gregorio Luperon High School for Science and Mathematics,"501 West 165Th
New York, NY 10032
(40.83803232200046, -73.93837101799966)"
02M392,MANHATTAN BUSINESS ACADEMY,"351 West 18 Street
New York, NY 10011
(40.74288810100046, -74.00212738099964)"
19K502,FDNY High School for Fire and Life Safety,"400 Pennsylvania Avenue
Brooklyn, NY 11207
(40.66755311100047, -73.89480053699964)"
10X353,World View High School,"100 West Mosholu Parkway South
Bronx, NY 10468
(40.88008184000046, -73.88590153299964)"
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,"100 Amsterdam Avenue
New York, NY 10023
(40.773670507000475, -73.98526855799963)"
07X670,Health Opportunities High School,"350 Gerard Avenue
Bronx, NY 10451
(40.81608448100047, -73.93032383899964)"
30Q555,Newcomers High School,"28-01 41 Avenue
Long Island City, NY 11101
(40.751380834000486, -73.93744971899963)"
29Q498,Humanities & Arts Magnet High School,"207- 01 116Th Avenue
Cambria Heights, NY 11411
(40.69553633600049, -73.73491834199967)"
14K614,Young Women's Leadership School of Brooklyn,"325 Bushwick Avenue
Brooklyn, NY 11206
(40.70560054300046, -73.93947806699964)"
25Q460,Flushing High School,"35-01 Union Street
Flushing, NY 11354
(40.765243471000474, -73.82785528199963)"
30Q501,Frank Sinatra School of the Arts High School,"35-12 35Th Avenue
Astoria, NY 11106
(40.75652807400047, -73.92514064399967)"
26Q435,Martin Van Buren High School,"230-17 Hillside Avenue
Queens Village, NY 11427
(40.73281710900045, -73.73965041299965)"
05M692,"High School for Mathematics, Science and Engineering at City College","240 Convent Ave
New York, NY 10031
(40.821123112000464, -73.94884524399964)"
08X332,Holcombe L. Rucker School of Community Research,"965 Longwood Avenue
Bronx, NY 10459
(40.81743944600049, -73.89804920599965)"
15K448,Brooklyn Secondary School for Collaborative Studies,"610 Henry Street
Brooklyn, NY 11231
(40.679863998000485, -74.00148225799967)"
01M292,Henry Street School for International Studies,"220 Henry Street
New York, NY 10002
(40.71376394700047, -73.98526003999967)"
02M303,"Facing History School, The","525 West 50Th Street
New York, NY 10019
(40.76502670800045, -73.99251657799965)"
02M432,Murray Hill Academy,"111 East 33Rd Street
New York, NY 10016
(40.746106375000466, -73.98100966699963)"
06M467,High School for Law and Public Service,"549 Audubon Avenue
New York, NY 10040
(40.855938307000486, -73.92702963399967)"
19K639,Brooklyn Lab School,"999 Jamaica Avenue
Brooklyn, NY 11208
(40.69114396200047, -73.86842605699962)"
09X252,Mott Hall Bronx High School,"1595 Bathgate Avenue
Bronx, NY 10457
(40.839327126000455, -73.90130978999963)"
09X260,Bronx Center for Science and Mathematics,"1363 Fulton Avenue
Bronx, NY 10456
(40.833738559000494, -73.90244824499968)"
09X324,Bronx Early College Academy for Teaching & Learning,"250 East 164 Street
Bronx, NY 10456
(40.828714180000475, -73.91775570199962)"
18K569,Kurt Hahn Expeditionary Learning School,"5800 Tilden Avenue
Brooklyn, NY 11203
(40.64866366300049, -73.92189876199967)"
19K583,Multicultural High School,"999 Jamaica Avenue
Brooklyn, NY 11208
(40.69114396200047, -73.86842605699962)"
10X439,Bronx High School for Law and Community Service,"500 East Fordham Road
Bronx, NY 10458
(40.86001222100049, -73.88822960399966)"
31R064,Gaynor McCown Expeditionary Learning School,"100 Essex Drive
Staten Island, NY 10314
(40.58202202600046, -74.15784841899966)"
18K617,High School for Innovation in Advertising and Media,"1600 Rockaway Parkway
Brooklyn, NY 11236
(40.641844268000455, -73.89868729099965)"
09X250,Eximius College Preparatory Academy: A College Board School,"1363 Fulton Avenue
Bronx, NY 10456
(40.833738559000494, -73.90244824499968)"
16K498,Brooklyn High School for Law and Technology,"1396 Broadway
Brooklyn, NY 11221
(40.68892554200045, -73.92108409899964)"
11X299,Astor Collegiate Academy,"925 Astor Avenue
Bronx, NY 10469
(40.85969831600045, -73.86074140399967)"
15K656,Brooklyn High School of the Arts,"345 Dean Street
Brooklyn, NY 11217
(40.683653990000494, -73.98047275099964)"
14K488,Brooklyn Preparatory High School,"257 North 6 Street
Brooklyn, NY 11211
(40.71503755100048, -73.95464995899965)"
29Q243,Institute for Health Professions at Cambria Heights,"207- 01 116Th Avenue
Cambria Heights, NY 11411
(40.69553633600049, -73.73491834199967)"
04M610,Young Women's Leadership School,"105 East 106 Street
New York, NY 10029
(40.79270695600047, -73.94729966199964)"
05M157,The Urban Assembly School for Global Commerce,"2005 Madison Avenue
New York, NY 10035
(40.80734208700045, -73.93943418699968)"
15K667,Sunset Park High School,"153 35Th Street
Brooklyn, NY 11232
(40.65595284400047, -74.00549732499962)"
10X442,"Celia Cruz Bronx High School of Music, The","2780 Reservoir Avenue
Bronx, NY 10468
(40.87037746700048, -73.89816295199967)"
01M696,Bard High School Early College,"525 East Houston Street
New York, NY 10002
(40.718961617000446, -73.97606602099967)"
04M409,Coalition School for Social Change,"2351 1St Avenue
New York, NY 10035
(40.7988651820005, -73.93336559699964)"
03M494,High School of Arts and Technology,"122 Amsterdam Avenue
New York, NY 10023
(40.77429641100048, -73.98482270099964)"
28Q896,"Young Women's Leadership School, Queens","150-91 87 Road
Jamaica, NY 11432
(40.70820782600049, -73.80407794599967)"
11X290,Bronx Academy of Health Careers,"800 East Gun Hill Road
Bronx, NY 10467
(40.87575421100047, -73.86138783399963)"
14K454,Green School: An Academy for Environmental Careers,"223 Graham Avenue
Brooklyn, NY 11206
(40.709899960000484, -73.94365993499963)"
07X427,Community School for Social Justice,"350 Gerard Avenue
Bronx, NY 10451
(40.81608448100047, -73.93032383899964)"
11X542,Pelham Preparatory Academy,"925 Astor Avenue
Bronx, NY 10469
(40.85969831600045, -73.86074140399967)"
27Q480,John Adams High School,"101-01 Rockaway Boulevard
Ozone Park, NY 11417
(40.679831401000456, -73.83832266399963)"
30Q258,Energy Tech High School,"36-41 28 Street
Astoria, NY 11106
(40.7570971560005, -73.93261840099967)"
12X267,Bronx Latin,"800 Home Street
Bronx, NY 10456
(40.82776397900045, -73.90038681299967)"
19K660,W. H. Maxwell Career and Technical Education High School,"145 Pennsylvania Avenue
Brooklyn, NY 11207
(40.674224214000446, -73.89645352099967)"
12X242,Mott Hall V,"1551 East 172Nd Street
Bronx, NY 10472
(40.831364532000464, -73.87834467499965)"
13K595,Bedford Academy High School,"1119 Bedford Avenue
Brooklyn, NY 11216
(40.68538126900046, -73.95426759999964)"
02M296,High School of Hospitality Management,"525 West 50Th Street
New York, NY 10019
(40.76502670800045, -73.99251657799965)"
07X500,Hostos-Lincoln Academy of Science,"600 Saint Ann'S Avenue
Bronx, NY 10455
(40.814955342000474, -73.91251954199964)"
19K683,"The School for Classics: An Academy of Thinkers, Writers and Peformers","370 Fountain Avenue
Brooklyn, NY 11208
(40.67068325000048, -73.87421747999963)"
25Q425,John Bowne High School,"63-25 Main Street
Flushing, NY 11367
(40.73869720300047, -73.82479482099967)"
12X511,Bronx Envision Academy,"1619 Boston Road
Bronx, NY 10460
(40.835937328000455, -73.89046769299966)"
11X275,High School of Computers and Technology,"800 East Gun Hill Road
Bronx, NY 10467
(40.87575421100047, -73.86138783399963)"
07X221,South Bronx Preparatory: A College Board School,"360 East 145 Street
Bronx, NY 10454
(40.81401081600046, -73.92083651699966)"
10X696,High School of American Studies at Lehman College,"2925 Goulden Avenue
Bronx, NY 10468
(40.8712553740005, -73.89751620399966)"
06M540,A. Philip Randolph Campus High School,"443 West 135 Street
New York, NY 10031
(40.81832126900048, -73.95061382799963)"
03M541,Manhattan / Hunter Science High School,"122 Amsterdam Avenue
New York, NY 10023
(40.77429641100048, -73.98482270099964)"
02M305,"Urban Assembly Academy of Government and Law, The","350 Grand Street
New York, NY 10002
(40.71686722400045, -73.98953194299963)"
02M551,Urban Assembly New York Harbor School,"550 Wheeler Avenue
Manhattan, NY 10004
(40.690787629000454, -74.01975732599965)"
13K670,Benjamin Banneker Academy,"71-77 Clinton Avenue
Brooklyn, NY 11205
(40.69566241300049, -73.96928607699965)"
03M860,Frederick Douglass Academy II Secondary School,"215 West 114 Street
New York, NY 10026
(40.802174581000486, -73.95400882799964)"
25Q252,"Queens School of Inquiry, The","158-40 76 Road
Fresh Meadows, NY 11366
(40.72452298400049, -73.80942798999968)"
27Q475,Richmond Hill High School,"89-30 114 Street
Richmond Hill, NY 11418
(40.6956492220005, -73.83358480499965)"
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,"40 Irving Place
New York, NY 10003
(40.73551946300046, -73.98760424899967)"
11X509,High School of Language and Innovation,"925 Astor Avenue
Bronx, NY 10469
(40.85969831600045, -73.86074140399967)"
06M423,High School for Excellence and Innovation,"650 Academy Street
New York, NY 10034
(40.86604554900049, -73.92485664199967)"
27Q260,Frederick Douglass Academy VI High School,"8-21 Bay 25 Street
Far Rockaway, NY 11691
(40.601989336000486, -73.76283432299965)"
03M403,The Global Learning Collaborative,"145 West 84 Street
New York, NY 10024
(40.78574315700047, -73.97441522799966)"
32K554,All City Leadership Secondary School,"321 Palmetto Street
Brooklyn, NY 11237
(40.69740779600045, -73.91315346199963)"
02M605,Humanities Preparatory Academy,"351 West 18 Street
New York, NY 10011
(40.74288810100046, -74.00212738099964)"
05M670,Thurgood Marshall Academy for Learning and Social Change,"200-214 West 135Th Street
New York, NY 10030
(40.81536482900049, -73.94389670999965)"
24Q299,Bard High School Early College Queens,"30-20 Thomson Avenue
Long Island City, NY 11101
(40.74509351900048, -73.93681389799963)"
10X477,Marble Hill High School for International Studies,"99 Terrace View Avenue
Bronx, NY 10463
(40.87704944300049, -73.91233659899967)"
15K497,School for International Studies,"284 Baltic Street
Brooklyn, NY 11201
(40.68545180600046, -73.99349146499964)"
17K122,Pathways in Technology Early College High School (P-Tech),"150 Albany Avenue
Brooklyn, NY 11213
(40.67540230700047, -73.93888117599965)"
08X349,Bronx River High School,"3000 East Tremont Avenue
Bronx, NY 10461
(40.840513977000455, -73.83812095999963)"
10X264,Bronx Academy for Software Engineering (BASE),"2474 Crotona Avenue
Bronx, NY 10458
(40.85592271000047, -73.88257897999966)"
